CASRN	Curated.name	DTXSID	Original SMILES	Original InChIKey	QSAR Ready SMILES	LLNA Binary hazard reference classification	LLNA Potency reference subcategorization	Reference
97-00-7	DNCB	DTXSID6020278	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O	InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
97-90-5	EGDMA	DTXSID1026615	CC(=C)C(=O)OCCOC(=O)C(C)=C	InChI=1S/C10H14O4/c1-7(2)9(11)13-5-6-14-10(12)8(3)4/h1,3,5-6H2,2,4H3	CC(=C)C(=O)OCCOC(=O)C(C)=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
140-88-5	Ethyl acrylate	DTXSID4020583	CCOC(=O)C=C	InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3	CCOC(=O)C=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
121-32-4	Ethyl vanillin	DTXSID5021968	CCOC1=C(O)C=CC(C=O)=C1	InChI=1S/C9H10O3/c1-2-12-9-5-7(6-10)3-4-8(9)11/h3-6,11H,2H2,1H3	CCOC1=C(O)C=CC(C=O)=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
97-96-1	2-Ethylbutanal	DTXSID3049380	CCC(CC)C=O	InChI=1S/C6H12O/c1-3-6(4-2)5-7/h5-6H,3-4H2,1-2H3	CCC(CC)C=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
107-15-3	Ethylene diamine (free base)	DTXSID5021881	NCCN	InChI=1S/C2H8N2/c3-1-2-4/h1-4H2	NCCN	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
103-11-7	2-Ethylhexyl acrylate	DTXSID9025297	CCCCC(CC)COC(=O)C=C	InChI=1/C11H20O2/c1-4-7-8-10(5-2)9-13-11(12)6-3/h6,10H,3-5,7-9H2,1-2H3	CCCCC(CC)COC(=O)C=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
97-53-0	Eugenol	DTXSID9020617	COC1=C(O)C=CC(CC=C)=C1	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3	COC1=C(O)C=CC(CC=C)=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
502-67-0	Farnesal	DTXSID60880981	CC(C)=CCC\C(C)=C\CC\C(C)=C\C=O	InChI=1S/C15H24O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11-12H,5-6,8,10H2,1-4H3/b14-9+,15-11+	CC(C)=CCCC(C)=CCCC(C)=CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
4602-84-0	Farnesol	DTXSID3032389	CC(C)=CCCC(C)=CCCC(C)=CCO	InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3	CC(C)=CCCC(C)=CCCC(C)=CCO	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
369-36-8	2-Fluoro-5-nitroaniline	DTXSID7074660	NC1=C(F)C=CC(=C1)[N+]([O-])=O	InChI=1S/C6H5FN2O2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,8H2	NC1=C(F)C=CC(=C1)[N+]([O-])=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
106-24-1	Geraniol	DTXSID8026727	CC(C)=CCC\C(C)=C\CO	InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+	CC(C)=CCCC(C)=CCO	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
111-30-8	Glutaraldehyde	DTXSID6025355	O=CCCCC=O	InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2	O=CCCCC=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
56-81-5	Glycerol	DTXSID9020663	OCC(O)CO	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	OCC(O)CO	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
107-22-2	Glyoxal	DTXSID5025364	O=CC=O	InChI=1S/C2H2O2/c3-1-2-4/h1-2H	O=CC=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1205-17-0	Helional	DTXSID7043908	CC(CC1=CC2=C(OCO2)C=C1)C=O	InChI=1/C11H12O3/c1-8(6-12)4-9-2-3-10-11(5-9)14-7-13-10/h2-3,5-6,8H,4,7H2,1H3	CC(CC1=CC2=C(OCO2)C=C1)C=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
5910-85-0	Hepta-2,4-dienal	DTXSID9064057	CCC=CC=CC=O	InChI=1S/C7H10O/c1-2-3-4-5-6-7-8/h3-7H,2H2,1H3	CCC=CC=CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
110-54-3	n-Hexane	DTXSID0021917	CCCCCC	InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3	CCCCCC	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
6728-26-3	trans-Hex-2-enal	DTXSID1041425	CCC\C=C\C=O	InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+	CCCC=CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
101-86-0	alpha-Hexylcinnamaldehyde	DTXSID4026684	CCCCCCC(C=O)=CC1=CC=CC=C1	InChI=1S/C15H20O/c1-2-3-4-6-11-15(13-16)12-14-9-7-5-8-10-14/h5,7-10,12-13H,2-4,6,11H2,1H3	CCCCCCC(C=O)=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
17373-89-6	2-Hexylidenecyclopentanone	DTXSID50864775	CCCCCC=C1CCCC1=O	InChI=1S/C11H18O/c1-2-3-4-5-7-10-8-6-9-11(10)12/h7H,2-6,8-9H2,1H3	CCCCCC=C1CCCC1=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
85-42-7	HHPA	DTXSID8026515	O=C1OC(=O)C2CCCCC12	InChI=1/C8H10O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h5-6H,1-4H2	O=C1OC(=O)C2CCCCC12	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
93-53-8	Hydratropaldehyde	DTXSID0052629	CC(C=O)C1=CC=CC=C1	InChI=1/C9H10O/c1-8(7-10)9-5-3-2-4-6-9/h2-8H,1H3	CC(C=O)C1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
123-31-9	Hydroquinone	DTXSID7020716	OC1=CC=C(O)C=C1	InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H	OC1=CC=C(O)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
99-96-7	4-Hydroxybenzoic acid	DTXSID3026647	OC(=O)C1=CC=C(O)C=C1	InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)	OC(=O)C1=CC=C(O)C=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
107-75-5	Hydroxycitronellal	DTXSID6042232	CC(CCCC(C)(C)O)CC=O	InChI=1/C10H20O2/c1-9(6-8-11)5-4-7-10(2,3)12/h8-9,12H,4-7H2,1-3H3	CC(CCCC(C)(C)O)CC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
818-61-1	2-Hydroxyethyl acrylate	DTXSID2022123	OCCOC(=O)C=C	InChI=1S/C5H8O3/c1-2-5(7)8-4-3-6/h2,6H,1,3-4H2	OCCOC(=O)C=C	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
923-26-2	2-Hydroxypropyl methacrylate	DTXSID1029629	CC(O)COC(=O)C(C)=C	InChI=1/C7H12O3/c1-5(2)7(9)10-4-6(3)8/h6,8H,1,4H2,2-3H3	CC(O)COC(=O)C(C)=C	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
39236-46-9	Imidazolidinyl urea	DTXSID2040151	OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O	InChI=1/C11H16N8O8/c20-2-18-4(6(22)16-10(18)26)14-8(24)12-1-13-9(25)15-5-7(23)17-11(27)19(5)3-21/h4-5,20-21H,1-3H2,(H2,12,14,24)(H2,13,15,25)(H,16,22,26)(H,17,23,27)	OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
55406-53-6	Iodocarb	DTXSID0028038	CCCCNC(=O)OCC#CI	InChI=1S/C8H12INO2/c1-2-3-6-10-8(11)12-7-4-5-9/h2-3,6-7H2,1H3,(H,10,11)	CCCCNC(=O)OCC#CI	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
638-45-9	1-Iodohexane	DTXSID2049341	CCCCCCI	InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3	CCCCCCI	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
6658-48-6	p-Isobutyl-alpha-methylhydrocinnamaldehyde	DTXSID4052346	CC(C)CC1=CC=C(CC(C)C=O)C=C1	InChI=1/C14H20O/c1-11(2)8-13-4-6-14(7-5-13)9-12(3)10-15/h4-7,10-12H,8-9H2,1-3H3	CC(C)CC1=CC=C(CC(C)C=O)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
97-54-1	Isoeugenol	DTXSID7022413	COC1=CC(C=CC)=CC=C1O	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3	COC1=CC(C=CC)=CC=C1O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
127-51-5	alpha-Isomethylionone	DTXSID7027047	CC(=O)C(C)=CC1C(C)=CCCC1(C)C	InChI=1/C14H22O/c1-10-7-6-8-14(4,5)13(10)9-11(2)12(3)15/h7,9,13H,6,8H2,1-5H3	CC(=O)C(C)=CC1C(C)=CCCC1(C)C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
67-63-0	Isopropanol	DTXSID7020762	CC(C)O	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	CC(C)O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
110-27-0	Isopropyl myristate	DTXSID0026838	CCCCCCCCCCCCCC(=O)OC(C)C	InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-17(18)19-16(2)3/h16H,4-15H2,1-3H3	CCCCCCCCCCCCCC(=O)OC(C)C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
59-01-8	Kanamycin	DTXSID3023184	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C18H36N4O11/c19-2-6-10(25)12(27)13(28)18(30-6)33-16-5(21)1-4(20)15(14(16)29)32-17-11(26)8(22)9(24)7(3-23)31-17/h4-18,23-29H,1-3,19-22H2/t4-,5+,6-,7-,8+,9-,10-,11-,12+,13-,14-,15+,16-,17-,18-/m1/s1	NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
55965-84-9	Kathon CG	DTXSID4044246	NA	NA	NA	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
50-21-5	Lactic acid	DTXSID7023192	CC(O)C(O)=O	InChI=1/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)	CC(O)C(O)=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
1166-52-5	Lauryl gallate	DTXSID0048189	CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1	InChI=1S/C19H30O5/c1-2-3-4-5-6-7-8-9-10-11-12-24-19(23)15-13-16(20)18(22)17(21)14-15/h13-14,20-22H,2-12H2,1H3	CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
80-54-6	Lilial	DTXSID9026500	CC(CC1=CC=C(C=C1)C(C)(C)C)C=O	InChI=1/C14H20O/c1-11(10-15)9-12-5-7-13(8-6-12)14(2,3)4/h5-8,10-11H,9H2,1-4H3	CC(CC1=CC=C(C=C1)C(C)(C)C)C=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
5989-27-5	D-Limonene	DTXSID1020778	CC(=C)[C@@H]1CCC(C)=CC1	InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1	CC(=C)C1CCC(C)=CC1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
78-70-6	Linalool	DTXSID7025502	CC(C)=CCCC(C)(O)C=C	InChI=1/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3	CC(C)=CCCC(C)(O)C=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
108-31-6	Maleic anhydride	DTXSID7024166	O=C1OC(=O)C=C1	InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H	O=C1OC(=O)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
149-30-4	2-Mercaptobenzothiazole	DTXSID1020807	SC1=NC2=C(S1)C=CC=C2	InChI=1S/C7H5NS2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)	SC1=NC2=C(S1)C=CC=C2	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
93-51-6	2-Methoxy-p-cresol	DTXSID6047105	COC1=CC(C)=CC=C1O	InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3	COC1=CC(C)=CC=C1O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
104-27-8	1-(4-Methoxyphenyl)pent-1-en-3-one	DTXSID4047412	CCC(=O)C=CC1=CC=C(OC)C=C1	InChI=1S/C12H14O2/c1-3-11(13)7-4-10-5-8-12(14-2)9-6-10/h4-9H,3H2,1-2H3	CCC(=O)C=CC1=CC=C(OC)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
96-33-3	Methyl acrylate	DTXSID0024183	COC(=O)C=C	InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3	COC(=O)C=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
3395-91-3	Methyl 3-bromoproprionate	DTXSID6063010	COC(=O)CCBr	InChI=1S/C4H7BrO2/c1-7-4(6)2-3-5/h2-3H2,1H3	COC(=O)CCBr	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
80-62-6	Methyl methacrylate	DTXSID2020844	COC(=O)C(C)=C	InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3	COC(=O)C(C)=C	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
66-27-3	Methyl methanesulphonate	DTXSID7020845	COS(C)(=O)=O	InChI=1S/C2H6O3S/c1-5-6(2,3)4/h1-2H3	COS(C)(=O)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
111-12-6	Methyl oct-2-ynoate	DTXSID9047093	CCCCCC#CC(=O)OC	InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3-6H2,1-2H3	CCCCCC#CC(=O)OC	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
600-22-6	Methyl pyruvate	DTXSID9049326	COC(=O)C(C)=O	InChI=1S/C4H6O3/c1-3(5)4(6)7-2/h1-2H3	COC(=O)C(C)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
101-39-3	alpha-Methylcinnamaldehyde	DTXSID4025587	CC(C=O)=CC1=CC=CC=C1	InChI=1S/C10H10O/c1-9(8-11)7-10-5-3-2-4-6-10/h2-8H,1H3	CC(C=O)=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
69300-15-8	2-Methyldecanenitrile	DTXSID20867819	CCCCCCCCC(C)C#N	InChI=1/C11H21N/c1-3-4-5-6-7-8-9-11(2)10-12/h11H,3-9H2,1-2H3	CCCCCCCCC(C)C#N	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
13706-86-0	5-Methylhexane-2,3-dione	DTXSID7049215	CC(C)CC(=O)C(C)=O	InChI=1S/C7H12O2/c1-5(2)4-7(9)6(3)8/h5H,4H2,1-3H3	CC(C)CC(=O)C(C)=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2682-20-4	Methylisothiazolinone	DTXSID2034259	CN1SC=CC1=O	InChI=1S/C4H5NOS/c1-5-4(6)2-3-7-5/h2-3H,1H3	CN1SC=CC1=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
119-10-8	4-Methyl-2-nitroanisole	DTXSID3029152	COC1=CC=C(C)C=C1[N+]([O-])=O	InChI=1S/C8H9NO3/c1-6-3-4-8(12-2)7(5-6)9(10)11/h3-5H,1-2H3	COC1=CC=C(C)C=C1[N+]([O-])=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
99-76-3	Methylparaben	DTXSID4022529	COC(=O)C1=CC=C(O)C=C1	InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3	COC(=O)C1=CC=C(O)C=C1	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
110-41-8	2-Methylundecanal	DTXSID9047629	CCCCCCCCCC(C)C=O	InChI=1/C12H24O/c1-3-4-5-6-7-8-9-10-12(2)11-13/h11-12H,3-10H2,1-2H3	CCCCCCCCCC(C)C=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
55-55-0	Metol	DTXSID6025565	OS(O)(=O)=O.CNC1=CC=C(O)C=C1.CNC1=CC=C(O)C=C1	InChI=1S/2C7H9NO.H2O4S/c2*1-8-6-2-4-7(9)5-3-6;1-5(2,3)4/h2*2-5,8-9H,1H3;(H2,1,2,3,4)	CNC1=CC=C(O)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
90-15-3	1-Naphthol	DTXSID6021793	OC1=CC=CC2=CC=CC=C12	InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H	OC1=CC=CC2=CC=CC=C12	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
100-11-8	4-Nitrobenzyl bromide	DTXSID7049392	[O-][N+](=O)C1=CC=C(CBr)C=C1	InChI=1S/C7H6BrNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2	[O-][N+](=O)C1=CC=C(CBr)C=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
5307-14-2	2-Nitro-p-phenylenediamine	DTXSID4020957	NC1=CC(=C(N)C=C1)[N+]([O-])=O	InChI=1S/C6H7N3O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,7-8H2	NC1=CC(=C(N)C=C1)[N+]([O-])=O	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2277-19-2	cis-6-Nonenal	DTXSID4051879	CC\C=C/CCCCC=O	InChI=1S/C9H16O/c1-2-3-4-5-6-7-8-9-10/h3-4,9H,2,5-8H2,1H3/b4-3-	CCC=CCCCCC=O	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
124-07-2	Octanoic acid	DTXSID3021645	CCCCCCCC(O)=O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	CCCCCCCC(O)=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
